title,category,rating,availability,price,upc,product_type,price_excluding_tax,price_including_tax,tax,number_of_reviews,product_url
A Light in the Attic,Poetry,Three,In stock,51.77,a897fe39b1053632,Books,51.77,51.77,0.0,0,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,Historical Fiction,One,In stock,53.74,90fa61229261140a,Books,53.74,53.74,0.0,0,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,Fiction,One,In stock,50.1,6957f44c3847a760,Books,50.1,50.1,0.0,0,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,Mystery,Four,In stock,47.82,e00eb4fd7b871a48,Books,47.82,47.82,0.0,0,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,History,Five,In stock,54.23,4165285e1663650f,Books,54.23,54.23,0.0,0,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Young Adult,One,In stock,22.65,f77dbf2323deb740,Books,22.65,22.65,0.0,0,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,In stock,33.34,2597b5a345f45e1b,Books,33.34,33.34,0.0,0,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,In stock,17.93,e72a5dfc7e9267b2,Books,17.93,17.93,0.0,0,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,In stock,22.6,e10e1e165dc8be4a,Books,22.6,22.6,0.0,0,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Poetry,One,In stock,52.15,1dfe412b8ac00530,Books,52.15,52.15,0.0,0,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,In stock,13.99,0312262ecafa5a40,Books,13.99,13.99,0.0,0,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Poetry,Four,In stock,20.66,30a7f60cd76ca58c,Books,20.66,20.66,0.0,0,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
